owner,repo,commit_hash,commit_url,performance_message
prestodb,presto,a972bba874890115d606de4155c5bb5b79de669f,https://github.com/prestodb/presto/commit/a972bba874890115d606de4155c5bb5b79de669f,Add distinct semi join plan optimization
opentripplanner,OpenTripPlanner,55cd395f76c3ab978d6de993b3af70474dec9e79,https://github.com/opentripplanner/OpenTripPlanner/commit/55cd395f76c3ab978d6de993b3af70474dec9e79,Always connect area interior to closest edge  Connection from inside area to the closest edge test randomly fails due to accuracy issues. Luckily  there is no need to test intersection at all because it is topologically impossible that something blocks the connection.
wushuo894,ani-rss,1ca7ea332f537faf599a5ae943745cf6bb3f4a96,https://github.com/wushuo894/ani-rss/commit/1ca7ea332f537faf599a5ae943745cf6bb3f4a96,优化ip范围判断
wushuo894,ani-rss,7d2caf9809e890fa306e33396398e9f3d6680cdc,https://github.com/wushuo894/ani-rss/commit/7d2caf9809e890fa306e33396398e9f3d6680cdc,优化更新流程
questdb,questdb,52ee7fe43ea3ca6e8da50cb57342813b48ce4bbc,https://github.com/questdb/questdb/commit/52ee7fe43ea3ca6e8da50cb57342813b48ce4bbc,chore(core): add bitmap index for `TxnScoreboardV2` (#5629)
vespa-engine,vespa,8aaaf20ea74c6072e93783a55bdffe18762d1e5e,https://github.com/vespa-engine/vespa/commit/8aaaf20ea74c6072e93783a55bdffe18762d1e5e,Simplify reference counting of HTTP requests  Take reference once created and once after request is completed
opensolon,solon,dd1516cf1bff9feba39a23e816a4a03113204c94,https://github.com/opensolon/solon/commit/dd1516cf1bff9feba39a23e816a4a03113204c94,优化 solon RenderManager 对 contentTypeNew 的匹配
apache,iotdb,87a37c2e37ae1f3130df9521a7ba0d898af6813d,https://github.com/apache/iotdb/commit/87a37c2e37ae1f3130df9521a7ba0d898af6813d,Load: Introduce thread pool for tablet conversion and insertion (#15611)
chinabugotech,hutool,a34637f0713e993e6721dd37e3244433eb7ec588,https://github.com/chinabugotech/hutool/commit/a34637f0713e993e6721dd37e3244433eb7ec588,优化XXXToMapCopier的部分性能（pr#1345@Gitee）
netty,netty,4f156c9e3815267d9d26909dc6098d88e00d450d,https://github.com/netty/netty/commit/4f156c9e3815267d9d26909dc6098d88e00d450d,Replace modulo with bitwise operator when possible (#15227)  Motivation:  In some cases modulo operator can be replaced with a cheaper bitwise version:  `% 128` -> `& 0x7F` `% 8` -> `& 0x07` `/ 128` -> `>>> 7`  Modification:  Replaced modulo operator with bitwise + division with shifting.  Result:  Cheaper CPU instructions used instead of modulo operator.
