owner,repo,commit_hash,commit_url,performance_message
trinodb,trino,678a5f70dfbb2dae09c686c68eab20abd6b7a398,https://github.com/trinodb/trino/commit/678a5f70dfbb2dae09c686c68eab20abd6b7a398,Use already retrieved columns
pinpoint-apm,pinpoint,710a2c8bec968a8fc42b75d4032631b93d0bef64,https://github.com/pinpoint-apm/pinpoint/commit/710a2c8bec968a8fc42b75d4032631b93d0bef64,[#12159] Change sort key combination to improve query performance
netty,netty,c88cdcd3ca6cf5b0cbd0a77ca79f8a59d562f052,https://github.com/netty/netty/commit/c88cdcd3ca6cf5b0cbd0a77ca79f8a59d562f052,Remove Result instance allocation in MqttDecoder (#15193)  Motivation:  MqttDecoder allocates a number of `Result` class instances to decode almost any MQTT message. This reduces the performance and creates more garbage  making life harder for the garbage collector later.  ![image](https://github.com/user-attachments/assets/c2df372b-dd79-48ba-8cfd-44b0c72cb440)  Modification:  Removed `Result` class instance allocations in MqttDecoder.  Result:  Reduced class instance allocations lead to improved performance and reduced garbage.
apache,iotdb,51bad1ec88d5d20aa4e84f3ccd6841fbfba75390,https://github.com/apache/iotdb/commit/51bad1ec88d5d20aa4e84f3ccd6841fbfba75390,[remove datanode] Accelerate GCR load balancing implement (#15535)
camunda,camunda,2c8dc5340034be7865f6ce775e60e235be029ea3,https://github.com/camunda/camunda/commit/2c8dc5340034be7865f6ce775e60e235be029ea3,feat: replace `DbString` with `DbShort` for storing `Intent#value()`  Changed `AsyncRequestMetadataKey` to store `Intent#value()` using `DbShort` instead of `Intent#name()` using `DbString`.  This improves key lookup efficiency and reduces storage size  while also making the state resilient to renaming of enum constants  which would otherwise break lookup logic based on string names.
igniterealtime,Openfire,14832dacf84faf3cef2f6e29ee0efda52dd9ea20,https://github.com/igniterealtime/Openfire/commit/14832dacf84faf3cef2f6e29ee0efda52dd9ea20,OF-3048: Improve ClientSession comparison performance (clustering)  Comparing ClientSessions typically involves evaluating the 'is anonymous' property of a session.  In a cluster  the property value of remote sessions is retrieved under guard of a distributed lock. As comparison of larger sets frequently evaluates the property value  that lock is obtained very frequently. This dramatically reduces performance.  As the property will never change after authentication  it's safe to cache the value. This improves performance considerably.  Note that RemoteClientSession instances are typically short-lived (as they're typically discarded after use)  which reduces the effectiveness of this change. Still  even without re-use  the performance improvement is considerable: in a cluster with 10 000 sessions  the responsiveness of the session summary page is improved from many minutes to 20 to 30 seconds in my test environment.
BiglySoftware,BiglyBT,d44e0fcda3e81686a2ad7ba5c0e4ab4fa2606847,https://github.com/BiglySoftware/BiglyBT/commit/d44e0fcda3e81686a2ad7ba5c0e4ab4fa2606847,Run code directly in getOffSWTThread if not on SWT thread
netty,netty,b48603c0c2e9fb96ca363570feca318799228bab,https://github.com/netty/netty/commit/b48603c0c2e9fb96ca363570feca318799228bab,IoUring: Use IORING_REGISTER_RING_FDS when possible (#14709)  Motivation:  If IORING_REGISTER_RING_FDS can be used we should do so to reduce overhead on io_uring_enter(...)  Modification:  Make use of IORING_REGISTER_RING_FDS  Result:  Less overhead during io_uring_enter(...)
trinodb,trino,04701064be2c95d25dd56cdd625ac828bdc37667,https://github.com/trinodb/trino/commit/04701064be2c95d25dd56cdd625ac828bdc37667,Reduce contribution of RLE blocks size in page splitting  Consider only the underlying value block size for RLE blocks in page splitting calculation. This prevents the splitting up of Pages due to getSizeInBytes of RLE blocks being a factor of positions count
trinodb,trino,dd3ccdab8591c55c72e9f9bf320d3e599863a76c,https://github.com/trinodb/trino/commit/dd3ccdab8591c55c72e9f9bf320d3e599863a76c,Change dictionary block to estimate size instead of exact computation
sofastack,sofa-bolt,5c528805c1c24899c0c9e3573f231e499e221ca9,https://github.com/sofastack/sofa-bolt/commit/5c528805c1c24899c0c9e3573f231e499e221ca9,opt: replace Random with ThreadLocalRandom (#373)
trinodb,trino,d5a18a503da106fa49ddde6dbf6fea18233c0ad4,https://github.com/trinodb/trino/commit/d5a18a503da106fa49ddde6dbf6fea18233c0ad4,Use AppendOnlyVariableWidthData in FlatArrayBuilder
trinodb,trino,5b02f5dd769f50e1e08d055c715bb77676b488da,https://github.com/trinodb/trino/commit/5b02f5dd769f50e1e08d055c715bb77676b488da,Delete files in parallel in IcebergMetadata#removeOrphanFiles
hs-web,hsweb-framework,7f86d0d7d54e9a0d53e73ea15d15ee90591beef0,https://github.com/hs-web/hsweb-framework/commit/7f86d0d7d54e9a0d53e73ea15d15ee90591beef0,refactor: 优化权限信息获取性能
power721,alist-tvbox,c2130a28f62ddab0910d779a9e460c40853240c9,https://github.com/power721/alist-tvbox/commit/c2130a28f62ddab0910d779a9e460c40853240c9,优化Emby
keycloak,keycloak,afde8ece15aefc46f80e8efe30e1c9f81d66dd9a,https://github.com/keycloak/keycloak/commit/afde8ece15aefc46f80e8efe30e1c9f81d66dd9a,Avoid sending/receiving the session JSON too often (#37095)  Closs #37093  Signed-off-by: Alexander Schwartz <aschwart@redhat.com>
netty,netty,f82c5f0e4efba2697ed26f39c0f830022074a481,https://github.com/netty/netty/commit/f82c5f0e4efba2697ed26f39c0f830022074a481,IoUring: Add the ability to allocate the buffers for the buffering in (#15457)  bulk  Motivation:  Before we did fill in a new buffer as soon as soon as we used one. This resulted in having buffer allocations spread out and so we could observe multiple TLB misses when the kernel tried to use the buffer ring. To reduce this we should better fill the whole ring at once and so allow the user to do a large allocation for the whole ring and then slice out the buffers as need while also still allow to do one allocation per buffer.  Modifications:  - Introduce IoUringBufferRingAllocator.allocateBulk(...) and use it from the IoUringBufferRing - Add abstract base class for IoUringBufferRingAllocator and extend it from our existing allocators. These now support large allocations or normal allocations  Result:  Better performance and much more flexibility
alibaba,fastjson2,a632e14b37cf01fa78202b0dbbbcc4a886140620,https://github.com/alibaba/fastjson2/commit/a632e14b37cf01fa78202b0dbbbcc4a886140620,fix(JSONReader): Add reference detection disable flag  Add support for disabling reference detection via a new feature flag (MASK_DISABLE_REFERENCE_DETECT). This improves performance in cases where reference tracking is unnecessary.
netty,netty,ad5f328c4625550e6ca3df0bed2aade31fa1247b,https://github.com/netty/netty/commit/ad5f328c4625550e6ca3df0bed2aade31fa1247b,WebSocket08FrameEncoder improvements (#15216)  Motivation:  While checking https://github.com/netty/netty/issues/15157  I found a few small improvements that could be done for `WebSocket08FrameEncoder`:  Modifications: - `opcode` resolving moved to its own method to make the code more readable - removed unnecessary `isReadable()` call and replaced it with `length > 0` check - replaced modulo operations with bit operations which are cheaper  Result: Cleanup
trinodb,trino,2ac9c9cafc4473813e1307155dfef9654c1d4990,https://github.com/trinodb/trino/commit/2ac9c9cafc4473813e1307155dfef9654c1d4990,Make metadata call parallelism to default to number of cores
camunda,camunda,29559ee4475ffc37680b299a11971fdaf03b6613,https://github.com/camunda/camunda/commit/29559ee4475ffc37680b299a11971fdaf03b6613,fix: SnapshotCopy opens the source db in read only mode (#34481)  ## Description The db opened at the source snapshot location is a `SnapshotOnlyDb`  which opens RocksDB in readOnly mode. This should avoid having rocksDB changing the files on disk while performing get operations.  The `forEach` method from `RawTransactionalColumnFamily` has been defined as static as well  in order to be used from `SnapshotOnlyDb` as well  as it does not have an open transaction.  A new `forEachPreallocated` method preallocates `byte [] key  byte[] value` in order to avoid allocating altogether when iterating. To avoid introducing new bugs  a new method has been created  so that the caller knows that the `byte[]` received cannot be used outside the invoked callback.  ## Integration tests: - this fix is tested by PR #34495 (stacked on this branch) ## Related issues  closes #34430
apache,camel,1b05fb3d92efdde9f50233a76f723c345b57c8ea,https://github.com/apache/camel/commit/1b05fb3d92efdde9f50233a76f723c345b57c8ea,CAMEL-22287: camel-main: durationMaxSeconds=-1 is a special mode to shutdown camel asap. This speedup camel-jbang.
modelcontextprotocol,java-sdk,c3a7c1ac1e04c141e95df1b1a77dc127b7ce0311,https://github.com/modelcontextprotocol/java-sdk/commit/c3a7c1ac1e04c141e95df1b1a77dc127b7ce0311,perf(webflux): optimize session broadcasting with Flux.fromIterable (#109)  Replace Flux.fromStream(sessions.values().stream()) with more efficient Flux.fromIterable(sessions.values()) to eliminate unnecessary stream conversion when broadcasting messages to active sessions  Signed-off-by: jitokim <pigberger70@gmail.com>
pinpoint-apm,pinpoint,33f239a74f8a64ed0e470ee84b4167be28f09e55,https://github.com/pinpoint-apm/pinpoint/commit/33f239a74f8a64ed0e470ee84b4167be28f09e55,[#noissue] Memory Optimization of DistributedScanner
