owner,repo,commit_hash,commit_url,commit_message
spring-projects,spring-boot,93113a415f1516b75a21822c4912e7946f8868ae,https://github.com/spring-projects/spring-boot/commit/93113a415f1516b75a21822c4912e7946f8868ae,Improve performance by not checking all indexed elements  Update `IndexedElementsBinder` so that bind operations are faster at the expense of not checking that all elements have been bound. The updated code now uses a window of 10 elements and assumes that if no elements are missing from that window then exhaustive checking is not required.  Closes gh-44867
spring-projects,spring-boot,9c25b69c06badb57ba0bf31ee387bbb23a2a2ca2,https://github.com/spring-projects/spring-boot/commit/9c25b69c06badb57ba0bf31ee387bbb23a2a2ca2,Improve performance of MapBinder by calculating items only once  Closes gh-44868
spring-projects,spring-boot,859d074764989a09911eeb3cba474ffcf1b26fac,https://github.com/spring-projects/spring-boot/commit/859d074764989a09911eeb3cba474ffcf1b26fac,Replace streams on hot paths with for loops  Replace a few usages of stream with simple for loops. Although this doesn't seem to make much difference to performance  it does help when profiling applications since it reduces the stack depth.
spring-projects,spring-boot,ae6908e4d87b0dd9077f53294afb65a87d6fd187,https://github.com/spring-projects/spring-boot/commit/ae6908e4d87b0dd9077f53294afb65a87d6fd187,Cache property mappings in ConfigurationPropertyName  Relocate `SystemEnvironmentPropertyMapper` methods into `ConfigurationPropertyName` so that they can be cached to improve performance  Closes gh-44858
spring-projects,spring-boot,81dee5413723796308372d073de6e76d90ee0a40,https://github.com/spring-projects/spring-boot/commit/81dee5413723796308372d073de6e76d90ee0a40,Improve ConfigurationPropertyName equals/hashCode performance  Update `ConfigurationPropertyName` to improve performance of the `equals(...)` and `hashCode()` methods by making the following changes:  - Move element hashCode logic to Element and cache the results - Exit the equals method early if hashcodes don't match - Exit the equals method early if toString() values match  Closes gh-44857
spring-projects,spring-boot,9890872a9aa5a7e2dfed223cf41f12f0a6b8914b,https://github.com/spring-projects/spring-boot/commit/9890872a9aa5a7e2dfed223cf41f12f0a6b8914b,Improve performance of ConcurrentReferenceCachingMetadataReaderFactory  Update `ConcurrentReferenceCachingMetadataReaderFactory` with cache by class name.  Closes gh-42949
spring-projects,spring-boot,c693b2bd8cfa7c10b2791aea58f26d55be548c33,https://github.com/spring-projects/spring-boot/commit/c693b2bd8cfa7c10b2791aea58f26d55be548c33,Add support for webjars-locator-lite  This is a follow-up to spring-projects/spring-framework#27619 This commit adds support for "org.webjars:webjars-locator-lite" for enabling the statis resources chain.  As of this commit  support for "org.webjars:webjars-locator-core" is deprecated for obvious performance reasons.  Closes gh-40146
elastic,elasticsearch,3af0568137b53a1ebc430f36a675b3c2024fe428,https://github.com/elastic/elasticsearch/commit/3af0568137b53a1ebc430f36a675b3c2024fe428,Speed up read dimension fields in TS (#128283)  When reading dimension fields in the TS command  we can skip reading values while the `tsid` remains unchanged to improve performance. I benchmarked this change with the following query:  ``` POST /_query { "query": "TS metrics-hostmetricsreceiver.otel-default | WHERE @timestamp >= \"2025-05-08T18:00:08.001Z\" | STATS cpu = avg(rate(`metrics.process.cpu.time`)) BY host.name  BUCKET(@timestamp  5 minute)" } ```  The total query time was reduced from 51ms to 39ms  with processing time in the time-series source operator reduced from 26ms to 17ms.
elastic,elasticsearch,3551494b9acc37bcb7506aade144e6e677da2fb5,https://github.com/elastic/elasticsearch/commit/3551494b9acc37bcb7506aade144e6e677da2fb5,ESQL: `text ==` and `text !=` pushdown  (#127355)  Reenables `text ==` pushdown and adds support for `text !=` pushdown.  It does so by making `TranslationAware#translatable` return something we can turn into a tri-valued function. It has these values: * `YES` * `NO` * `RECHECK`  `YES` means the `Expression` is entirely pushable into Lucene. They will be pushed into Lucene and removed from the plan.  `NO` means the `Expression` can't be pushed to Lucene at all and will stay in the plan.  `RECHECK` mean the `Expression` can push a query that makes *candidate* matches but must be rechecked. Documents that don't match the query won't match the expression  but documents that match the query might not match the expression. These are pushed to Lucene *and* left in the plan.  This is required because `txt != "b"` can build a *candidate* query against the `txt.keyword` subfield but it can't be sure of the match without loading the `_source` - which we do in the compute engine.  I haven't plugged rally into this  but here's some basic performance tests: ``` Before: not text eq {"took":460 "documents_found":1000000} text eq {"took":432 "documents_found":1000000}  After: text eq {"took":5 "documents_found":1} not text eq {"took":351 "documents_found":800000} ```  This comes from: ``` rm -f /tmp/bulk* for a in {1..1000}; do echo '{"index":{}}' >> /tmp/bulk echo '{"text":"text '$(printf $(($a % 5)))'"}' >> /tmp/bulk done ls -l /tmp/bulk*  passwd="redacted" curl -sk -uelastic:$passwd -HContent-Type:application/json -XDELETE https://localhost:9200/test curl -sk -uelastic:$passwd -HContent-Type:application/json -XPUT https://localhost:9200/test -d'{ "settings": { "index.codec": "best_compression"  "index.refresh_interval": -1 }  "mappings": { "properties": { "many": { "enabled": false } } } }' for a in {1..1000}; do printf %04d: $a curl -sk -uelastic:$passwd -HContent-Type:application/json -XPOST https://localhost:9200/test/_bulk?pretty --data-binary @/tmp/bulk | grep errors done curl -sk -uelastic:$passwd -HContent-Type:application/json -XPOST https://localhost:9200/test/_forcemerge?max_num_segments=1 curl -sk -uelastic:$passwd -HContent-Type:application/json -XPOST https://localhost:9200/test/_refresh echo curl -sk -uelastic:$passwd https://localhost:9200/_cat/indices?v  text_eq() { echo -n "    text eq " curl -sk -uelastic:$passwd -HContent-Type:application/json -XPOST 'https://localhost:9200/_query?pretty' -d'{ "query": "FROM test | WHERE text == \"text 1\" | STATS COUNT(*)"  "pragma": { "data_partitioning": "shard" } }' | jq -c '{took  documents_found}' }  not_text_eq() { echo -n "not text eq " curl -sk -uelastic:$passwd -HContent-Type:application/json -XPOST 'https://localhost:9200/_query?pretty' -d'{ "query": "FROM test | WHERE NOT text == \"text 1\" | STATS COUNT(*)"  "pragma": { "data_partitioning": "shard" } }' | jq -c '{took  documents_found}' }   for a in {1..100}; do text_eq not_text_eq done ```
elastic,elasticsearch,d65f34d173bf419df55cf355639be32c929992a5,https://github.com/elastic/elasticsearch/commit/d65f34d173bf419df55cf355639be32c929992a5,Push down field extraction to time-series source (#127445)  This change pushes down field extractions to the time-series source operator  providing these advantages:  - Avoids building `DocVector` and its forward/backward maps.  - Leverages the `DocValues` cache (i.e.  blocks that are already decompressed/decoded) when loading values  which can be lost when reading blocks with the `ValuesSourceReaderOperator`.  - Eliminates the need to rebuild blocks with backward mappings after reading values.  The following query against the TSDB track previously took 19 seconds but was reduced to 13 seconds with this change:  ``` TS tsdb | STATS sum(rate(kubernetes.container.memory.pagefaults)) by bucket(@timestamp  5minute) ```  Note that with this change:  ``` TS tsdb | STATS sum(rate(kubernetes.container.memory.pagefaults)) by bucket(@timestamp  5minute) ``` now performs as well as:  ``` FROM tsdb | STATS sum(last_over_time(kubernetes.container.memory.pagefaults)) by bucket(@timestamp  5minute) ```  when using the shard level data partitioning. This means the performance of the TS command is comparable to the `FROM` command  except that it does not yet support segment-level or doc-level concurrency. I will try to add support for segment-level concurrency  as document-level partitioning is not useful when iterating over documents in order.
