issue,ground-truth_patch,generated_patch
https://github.com/keycloak/keycloak/issues/43698,https://github.com/keycloak/keycloak/commit/47288a96439bb3e6db587ea37ceece7e96665320,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_47288a96439bb3e6db587ea37ceece7e96665320.patch
https://github.com/keycloak/keycloak/issues/43362,https://github.com/keycloak/keycloak/commit/02dfb4bd8a29dd7b83a34130cce956f2d910b9cf,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_02dfb4bd8a29dd7b83a34130cce956f2d910b9cf.patch
https://github.com/keycloak/keycloak/issues/43357,https://github.com/keycloak/keycloak/commit/10f06e9eb7c23aadb14e564b469f4b39f7af1e6f,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_10f06e9eb7c23aadb14e564b469f4b39f7af1e6f.patch
https://github.com/keycloak/keycloak/issues/43365,https://github.com/keycloak/keycloak/commit/66b9e801c122b8fe9c1bc661357198eeb1d04d5c,N/A
https://github.com/netty/netty/issues/15503,https://github.com/netty/netty/commit/15b8bbf864680ec2250c72d52b35ed46bfaf3a6f,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_15b8bbf864680ec2250c72d52b35ed46bfaf3a6f.patch
https://github.com/netty/netty/issues/14268,https://github.com/netty/netty/commit/48687be377c1e0b94acddca4ae54eff996c1ee2a,N/A
https://github.com/keycloak/keycloak/issues/42283,https://github.com/keycloak/keycloak/commit/971016f74346955c71f1b4fcb45be1e43abb9f8b,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_971016f74346955c71f1b4fcb45be1e43abb9f8b.patch
https://github.com/keycloak/keycloak/issues/40805,https://github.com/keycloak/keycloak/commit/d74e71e5ed1a55cf55835339c819c1f68c3f6126,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_d74e71e5ed1a55cf55835339c819c1f68c3f6126.patch
https://github.com/keycloak/keycloak/issues/39987,https://github.com/keycloak/keycloak/commit/4fc065aadc5146c938ecf842a1548ef67f1ecdb3,N/A
https://github.com/keycloak/keycloak/issues/35796,https://github.com/keycloak/keycloak/commit/a43b65281d6f3631366b71858cad25676aaf635d,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_a43b65281d6f3631366b71858cad25676aaf635d.patch
https://github.com/keycloak/keycloak/issues/34848,https://github.com/keycloak/keycloak/commit/347cd3b9b971495c45ad8590077e7fbf86065b4e,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_347cd3b9b971495c45ad8590077e7fbf86065b4e.patch
https://github.com/keycloak/keycloak/issues/33439,https://github.com/keycloak/keycloak/commit/3887ee3006fce7af5e6321f4aefe062e9cdd20c7,N/A
https://github.com/keycloak/keycloak/issues/31519,https://github.com/keycloak/keycloak/commit/aa91f6027801d198e68409bc8b907761fe08c776,N/A
https://github.com/keycloak/keycloak/issues/31701,https://github.com/keycloak/keycloak/commit/00d8e06f7995eafe061ac2d407869372d3be3c3e,N/A
https://github.com/keycloak/keycloak/issues/31699,https://github.com/keycloak/keycloak/commit/557cf1e60e2ab67d43f1ea02c8037078705cc0a6,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_557cf1e60e2ab67d43f1ea02c8037078705cc0a6.patch
https://github.com/keycloak/keycloak/issues/29319,https://github.com/keycloak/keycloak/commit/673e122443f3bd535563a28e50ca55bdb63d0ff7,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_673e122443f3bd535563a28e50ca55bdb63d0ff7.patch
https://github.com/keycloak/keycloak/issues/29130,https://github.com/keycloak/keycloak/commit/ae1aaef96c80563c7d78ed617556fbbd91d7ad30,N/A
https://github.com/liquibase/liquibase/issues/6685,https://github.com/liquibase/liquibase/commit/d534727e88c6ecd17678ee92fe27276deb5c865a,N/A
https://github.com/liquibase/liquibase/issues/6178,https://github.com/liquibase/liquibase/commit/867f787fccb8e069c973d27ebb27ad6ce8bbb35a,N/A
https://github.com/liquibase/liquibase/issues/5507,https://github.com/liquibase/liquibase/commit/3daa688c6a99ed131687036ba4e40cd743c4b3c8,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_3daa688c6a99ed131687036ba4e40cd743c4b3c8.patch
https://github.com/rabbitmq/rabbitmq-perf-test/issues/703,https://github.com/rabbitmq/rabbitmq-perf-test/commit/43f4a009a609a161208a842dd833ef8ef9dfd914,N/A
https://github.com/kadai-io/kadai/issues/1063,https://github.com/kadai-io/kadai/commit/ba2bc94259a61282f7491622f9e9320a3acd92fd,N/A
https://github.com/kadai-io/kadai/issues/786,https://github.com/kadai-io/kadai/commit/a3afea91d4418ba474c3a805de71350288f61ca9,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_a3afea91d4418ba474c3a805de71350288f61ca9.patch
https://github.com/apache/dubbo/issues/5892,https://github.com/apache/dubbo/commit/78d527788d6fdc2d27e33261299f20db65f74139,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_78d527788d6fdc2d27e33261299f20db65f74139.patch
https://github.com/keycloak/keycloak/issues/13303,https://github.com/keycloak/keycloak/commit/8ed9ce29d159d10728ada8da708dab111921b024,N/A
https://github.com/OpenAPITools/openapi-generator/issues/16490,https://github.com/OpenAPITools/openapi-generator/commit/196c2b1642453c15e33bbdb6677339468b1a5d7f,N/A
https://github.com/mhewedy/spring-data-jpa-mongodb-expressions/issues/30,https://github.com/mhewedy/spring-data-jpa-mongodb-expressions/commit/45e0e1c3f1abff6c9a457905b80cb884f8a23487,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_45e0e1c3f1abff6c9a457905b80cb884f8a23487.patch
https://github.com/pgjdbc/r2dbc-postgresql/issues/243,https://github.com/pgjdbc/r2dbc-postgresql/commit/9078212d0723467dd6dbfcf1f62511fc4733fa0d,N/A
https://github.com/spring-projects/spring-modulith/issues/1338,https://github.com/spring-projects/spring-modulith/commit/01d7a35d2dc2b340462ab38b4f2a6e1031d991b6,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_01d7a35d2dc2b340462ab38b4f2a6e1031d991b6.patch
https://github.com/spring-projects/spring-modulith/issues/1146,https://github.com/spring-projects/spring-modulith/commit/711c8449fa8f0494650d95ff6d23d8c3e474a8df,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_711c8449fa8f0494650d95ff6d23d8c3e474a8df.patch
https://github.com/spring-projects/spring-modulith/issues/1149,https://github.com/spring-projects/spring-modulith/commit/5f725621c6b6f83404168784fae772508e21a21b,N/A
https://github.com/spring-projects/spring-modulith/issues/1149,https://github.com/spring-projects/spring-modulith/commit/4cf9b5c7072e9e88f1c0897f9f7d8bf703c0fdae,N/A
https://github.com/spring-projects/spring-modulith/issues/1098,https://github.com/spring-projects/spring-modulith/commit/083ce7beae11f7872e5f143dd860dc39a0eb9f7f,N/A
https://github.com/spring-projects/spring-modulith/issues/261,https://github.com/spring-projects/spring-modulith/commit/0de48790d7e98785d82f7e0668f1a75036f9c152,N/A
https://github.com/gluonhq/rich-text-area/issues/3,https://github.com/gluonhq/rich-text-area/commit/4bfda0aeee99e29af06d711c60f465daa3044261,N/A
https://github.com/streamthoughts/kafka-connect-file-pulse/issues/490,https://github.com/streamthoughts/kafka-connect-file-pulse/commit/ce329c0713fad5bcf6ee07ca0a182276b3583b07,N/A
https://github.com/mock-server/mockserver/issues/1010,https://github.com/mock-server/mockserver/commit/4509035c3c0f09a80571bab2878c6a622a08462e,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_4509035c3c0f09a80571bab2878c6a622a08462e.patch
https://github.com/spring-cloud/spring-cloud-sleuth/issues/1742,https://github.com/spring-cloud/spring-cloud-sleuth/commit/382f4a0da786bea63159fa4e9593906b729c7b88,N/A
https://github.com/apiman/apiman/issues/1153,https://github.com/apiman/apiman/commit/29fb6a19c683ca5edba4a283209bb89026dc0f47,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_29fb6a19c683ca5edba4a283209bb89026dc0f47.patch
https://github.com/keycloak/keycloak/issues/44447,https://github.com/keycloak/keycloak/commit/2acfd41b19b7fbe459450145debf547aed375b4b,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_2acfd41b19b7fbe459450145debf547aed375b4b.patch
https://github.com/keycloak/keycloak/issues/44048,https://github.com/keycloak/keycloak/commit/f7ee930a2718ac1bcf3f65d713b3863d675341c8,N/A
https://github.com/apache/incubator-seata/issues/1085,https://github.com/apache/incubator-seata/commit/b52ad6dcc77b9b559d24ce759bae51955e4f1d3e,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_b52ad6dcc77b9b559d24ce759bae51955e4f1d3e.patch
https://github.com/mybatis/mybatis-3/issues/2426,https://github.com/mybatis/mybatis-3/commit/ddd931bd095923ccdb199dedd1fd82065bf5d6a7,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_ddd931bd095923ccdb199dedd1fd82065bf5d6a7.patch
https://github.com/mybatis/mybatis-3/issues/2297,https://github.com/mybatis/mybatis-3/commit/8690d60cad1f397102859104fee1f6e6056a0593,N/A
https://github.com/quarkusio/quarkus/issues/24712,https://github.com/quarkusio/quarkus/commit/3133199cbb457886e53e8a11131ef35561da01ce,N/A
https://github.com/quarkusio/quarkus/issues/4490,https://github.com/quarkusio/quarkus/commit/82db6e06e60546d73d18b2bdd7cfc3b5791da8ac,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_82db6e06e60546d73d18b2bdd7cfc3b5791da8ac.patch
https://github.com/spring-cloud/spring-cloud-function/issues/1072,https://github.com/spring-cloud/spring-cloud-function/commit/a7f5a22ec6f5690f6425074d679781399c6897c0,N/A
https://github.com/spring-cloud/spring-cloud-function/issues/1066,https://github.com/spring-cloud/spring-cloud-function/commit/8ab157de7676d02e97ba5e06cd3fd6d848fecd2d,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_8ab157de7676d02e97ba5e06cd3fd6d848fecd2d.patch
https://github.com/spring-projects/spring-data-elasticsearch/issues/3063,https://github.com/spring-projects/spring-data-elasticsearch/commit/8b43af2d333a294d334c09e2b44f7734d014c644,N/A
https://github.com/neo4j/neo4j-ogm/issues/891,https://github.com/neo4j/neo4j-ogm/commit/2c4c5c83f6850fa3793be5f55f105480fe316801,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_2c4c5c83f6850fa3793be5f55f105480fe316801.patch
https://github.com/neo4j/neo4j-ogm/issues/889,https://github.com/neo4j/neo4j-ogm/commit/a26d814a4c50a3d20ac70daf16fd2bbdaa3bf544,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_a26d814a4c50a3d20ac70daf16fd2bbdaa3bf544.patch
https://github.com/neo4j/neo4j-ogm/issues/852,https://github.com/neo4j/neo4j-ogm/commit/f20d9f02edf49a0968bbbf6fdc0e0a63c250449c,N/A
https://github.com/neo4j/neo4j-ogm/issues/853,https://github.com/neo4j/neo4j-ogm/commit/b160b9a56f5569e37df6c41ba78981fa3990ac33,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_b160b9a56f5569e37df6c41ba78981fa3990ac33.patch
https://github.com/neo4j/neo4j-ogm/issues/854,https://github.com/neo4j/neo4j-ogm/commit/81bf93a9547f41aa02552b80642cc1b03bdd1e2d,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_81bf93a9547f41aa02552b80642cc1b03bdd1e2d.patch
https://github.com/neo4j/neo4j-ogm/issues/849,https://github.com/neo4j/neo4j-ogm/commit/502bf977ec4bbf9605b96c0bf8cd326892481e6f,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_502bf977ec4bbf9605b96c0bf8cd326892481e6f.patch
https://github.com/neo4j/neo4j-ogm/issues/840,https://github.com/neo4j/neo4j-ogm/commit/730d885795942df5a75f1ea97255209872965353,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_730d885795942df5a75f1ea97255209872965353.patch
https://github.com/neo4j/neo4j-ogm/issues/738,https://github.com/neo4j/neo4j-ogm/commit/2df1b3d6d5f96c8202afe760ef41da4af84d0b76,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_2df1b3d6d5f96c8202afe760ef41da4af84d0b76.patch
https://github.com/spring-cloud/spring-cloud-circuitbreaker/issues/96,https://github.com/spring-cloud/spring-cloud-circuitbreaker/commit/7a9b097e0be96c8954924f4b6aa550e6ac3862fe,N/A
